title,author,isbn,publicationYear,numberOfCopies
Principles: Life and Work,Ray Dalio,9781501124051,2017,8
Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,9780758272799,2007,7
Ask A Footballer,James Milner,9781529404937,2019,7
Young Justice Vol. 1,Art Baltazar,9781401244378,2012,6
The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,9781632913296,2015,5
Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,9781429960748,2010,8
10 Ways to be less consumerist,James Fries,9781526012456,2019,8
'Salem's Lot,Stephen King,9781848940819,2008,3
Bring Me Back,B A Paris,9780008244880,2018,10
Team Sonic Racing Plus Deluxe Turbo Championship Edition one-shot,Caleb Goellner,Original pages,2019,4
Management (The Brian Tracy Success Library),Brian Tracy,9780814434208,2014,2
Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,9780062336583,2014,5
Strawberry Shortcake Murder,Joanne Fluke,9781617731259,2011,2
Batman and Robin Vol. 1: Batman Reborn,Grant Morrison,9781401235741,2011,8
Killer Blonde,Laura Levine,9780758265111,2008,4
The Black Box,Michael Connelly,9781409134336,2012,6
Management (The Brian Tracy Success Library),Brian Tracy,9780814434208,2014,6
Legacy,Shannon Messenger,9781534427358,2019,10
Gangster: A Novel,Lorenzo Carcaterra,9780345459541,2002,5
"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,9780575087057,2010,10
A Forge of Valor (Kings and Sorcerers--Book 4),Morgan Rice,9781632913821,2015,10
Final Option: 'The best one yet',Clive Cussler,9781405941020,2019,2
"Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time, Edition 3",Brian Tracy,9781626569430,2017,7
Kings and Sorcerers Bundle (Books 2 and 3),Morgan Rice,9781632915740,2016,8
Getting Away Is Deadly: An Ellie Avery Mystery,Sara Rosett,9781617734076,2009,5
On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,9780804190121,2017,2
No Mercy: The brand new novel from the Queen of Crime,Martina Cole,9781472249425,2019,8
A Crown of Swords: Book Seven of 'The Wheel of Time',Robert Jordan,9781429960571,2010,6
The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,9780330513081,2009,4
My Little Pony: Friendship is Magic #45,Thom Zahler,Original pages,2016,5
Antiques Knock-Off,Barbara Allan,9780758277695,2012,10
Thrawn (Star Wars),Timothy Zahn,9780345542847,2017,4
Death in an Elegant City: An English Village Murder Mystery,Sara Rosett,Flowing text,2016,4
The Joker,Brian Azzarello,9781401236632,2008,7
The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,9780330513081,2009,4
Platform: Get Noticed in a Noisy World,Michael Hyatt,9781595555045,2012,1
